id,country_code
12143,om
12144,om
12145,om
12146,om
12147,om
12148,om
12149,om
12150,om
12151,om
12152,om
12153,om
12154,om
12155,om
12156,om
12157,om
12158,om
12159,om
12160,om
12161,om
12162,om
12163,om
12164,om
12165,om
12166,om
12167,om
12168,om
34022,om
34023,om
34024,om
34025,om
34026,om
34027,om
34028,om
34029,om
34030,om
34031,om
34032,om
34033,om
34034,om
34562,om
34534,om
34535,om
34563,om
35520,om
35521,om
35522,om
45839,om
35523,om
35524,om
35525,om
35526,om
35527,om
35528,om
35529,om
35530,om
35533,om
35534,om
35535,om
35536,om
35537,om
35538,om
35539,om
35540,om
35541,om
35542,om
35543,om
35544,om
35545,om
35546,om
35547,om
35548,om
35549,om
35550,om
35551,om
35552,om
35553,om
35554,om
35555,om
35556,om
35557,om
45840,om
35558,om
35559,om
35560,om
35561,om
35562,om
35563,om
35564,om
35565,om
35566,om
45841,om
35567,om
35568,om
35569,om
35570,om
35571,om
35572,om
35573,om
35574,om
35575,om
35576,om
35577,om
35578,om
35579,om
35580,om
35581,om
35582,om
35583,om
